Protein accession	Sequence MD5 digest	sequence length	Analysis	Signature accession	signature description	Start location	Stop location	Score	Status	Data	InterPro annotations accession	InterPro annotations description	NCBI annotation	species
Cluster-13398.21084	c899a689f658eeaad9bd2970eafb0ecc	447	PANTHER	PTHR43091	3-OXOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE	122	446	2.50E-132	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.21084	c899a689f658eeaad9bd2970eafb0ecc	447	TIGRFAM	TIGR00747	fabH: 3-oxoacyl-[acyl-carrier-protein] synthase III	124	446	6.10E-109	T	09-08-2021	IPR004655	3-oxoacyl-[acyl-carrier-protein] synthase 3	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.21084	c899a689f658eeaad9bd2970eafb0ecc	447	Pfam	PF08545	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III	225	304	3.10E-32	T	09-08-2021	IPR013751	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.21084	c899a689f658eeaad9bd2970eafb0ecc	447	Hamap	MF_01815	3-oxoacyl-[acyl-carrier-protein] synthase 3 [fabH].	121	447	66.953476	T	09-08-2021	IPR004655	3-oxoacyl-[acyl-carrier-protein] synthase 3	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.21084	c899a689f658eeaad9bd2970eafb0ecc	447	Pfam	PF08541	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal	358	446	2.00E-36	T	09-08-2021	IPR013747	"3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III, C-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	SMART	SM00822	This enzymatic domain is part of bacterial polyketide synthases and catalyses the first step in the reductive modification of the beta-carbonyl centres in the growing polyketide chain. It uses NADPH to reduce the keto group to a hydroxy group.	2373	2542	4.20E-13	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	SUPERFAMILY	SSF47336	ACP-like	834	944	2.62E-14	T	09-08-2021	IPR036736	ACP-like superfamily	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	ProSitePatterns	PS00012	Phosphopantetheine attachment site.	860	875	-	T	09-08-2021	IPR006162	Phosphopantetheine attachment site	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	SMART	SM00825	Beta-ketoacyl synthase	931	1362	1.20E-96	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	Gene3D	G3DSA:1.10.1200.10	-	824	907	1.50E-13	T	09-08-2021	IPR036736	ACP-like superfamily	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	ProSitePatterns	PS00455	Putative AMP-binding domain signature.	439	450	-	T	09-08-2021	IPR020845	"AMP-binding, conserved site"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	SMART	SM01294	17clusters_betabranch_W	835	901	0.0017	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	Pfam	PF16197	Ketoacyl-synthetase C-terminal extension	1313	1426	8.60E-14	T	09-08-2021	IPR032821	"Polyketide synthase, C-terminal extension"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	Pfam	PF00698	Acyl transferase domain	1476	1767	5.30E-37	T	09-08-2021	IPR014043	Acyl transferase	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	SUPERFAMILY	SSF55048	Probable ACP-binding domain of malonyl-CoA ACP transacylase	1612	1676	2.62E-09	T	09-08-2021	IPR016036	"Malonyl-CoA ACP transacylase, ACP-binding"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	SMART	SM00823	Phosphopantetheine attachment site	834	905	2.30E-05	T	09-08-2021	IPR020806	"Polyketide synthase, phosphopantetheine-binding domain"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	SMART	SM00823	Phosphopantetheine attachment site	2627	2704	0.083	T	09-08-2021	IPR020806	"Polyketide synthase, phosphopantetheine-binding domain"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	ProSitePatterns	PS00012	Phosphopantetheine attachment site.	2658	2673	-	T	09-08-2021	IPR006162	Phosphopantetheine attachment site	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	SUPERFAMILY	SSF47336	ACP-like	2653	2700	9.55E-06	T	09-08-2021	IPR036736	ACP-like superfamily	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	CDD	cd00833	PKS	929	1357	6.00E-138	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	PANTHER	PTHR43775	FATTY ACID SYNTHASE	918	1859	1.90E-243	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	PANTHER	PTHR43775	FATTY ACID SYNTHASE	2375	2700	1.90E-243	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	Gene3D	G3DSA:3.30.70.3290	-	1378	1849	4.30E-106	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	ProSiteProfiles	PS50075	Carrier protein (CP) domain profile.	828	905	15.065497	T	09-08-2021	IPR009081	Phosphopantetheine binding ACP domain	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	929	1182	9.50E-54	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	Gene3D	G3DSA:3.40.50.12780	-	282	696	5.90E-71	T	09-08-2021	IPR042099	"ANL, N-terminal domain"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	SUPERFAMILY	SSF53901	Thiolase-like	927	1358	1.12E-57	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	Gene3D	G3DSA:3.40.366.10	-	1475	1799	4.30E-106	T	09-08-2021	IPR001227	Acyl transferase domain superfamily	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	SUPERFAMILY	SSF53474	alpha/beta-Hydrolases	1872	2127	4.38E-25	T	09-08-2021	IPR029058	Alpha/Beta hydrolase fold	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	Gene3D	G3DSA:3.40.50.1820	alpha/beta hydrolase	8	257	4.70E-47	T	09-08-2021	IPR029058	Alpha/Beta hydrolase fold	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	SUPERFAMILY	SSF53474	alpha/beta-Hydrolases	4	261	1.42E-35	T	09-08-2021	IPR029058	Alpha/Beta hydrolase fold	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	Pfam	PF00501	AMP-binding enzyme	294	704	4.00E-57	T	09-08-2021	IPR000873	AMP-dependent synthetase/ligase	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	Coils	Coil	Coil	1650	1670	-	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	PRINTS	PR01483	Fatty acid synthase signature	1565	1584	7.50E-08	T	09-08-2021	IPR003965	Fatty acid synthase	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	PRINTS	PR01483	Fatty acid synthase signature	1466	1485	7.50E-08	T	09-08-2021	IPR003965	Fatty acid synthase	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	PRINTS	PR01483	Fatty acid synthase signature	396	416	7.50E-08	T	09-08-2021	IPR003965	Fatty acid synthase	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	SUPERFAMILY	SSF56801	Acetyl-CoA synthetase-like	287	801	1.13E-82	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	Gene3D	G3DSA:3.40.50.720	-	2179	2612	2.60E-48	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	Gene3D	G3DSA:3.40.47.10	-	926	1362	4.20E-121	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains	2374	2556	2.51E-23	T	09-08-2021	IPR036291	NAD(P)-binding domain superfamily	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	Pfam	PF00975	Thioesterase domain	21	256	5.30E-34	T	09-08-2021	IPR001031	Thioesterase	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	Pfam	PF00975	Thioesterase domain	1902	2120	3.50E-14	T	09-08-2021	IPR001031	Thioesterase	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	Gene3D	G3DSA:3.40.50.1820	alpha/beta hydrolase	1899	2128	2.80E-37	T	09-08-2021	IPR029058	Alpha/Beta hydrolase fold	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	1189	1309	6.00E-27	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	SUPERFAMILY	SSF52151	FabD/lysophospholipase-like	1474	1777	4.97E-52	T	09-08-2021	IPR016035	Acyl transferase/acyl hydrolase/lysophospholipase	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	SMART	SM00827	Acyl transferase domain in polyketide synthase (PKS) enzymes.	1477	1792	6.80E-65	T	09-08-2021	IPR014043	Acyl transferase	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	Pfam	PF00550	Phosphopantetheine attachment site	837	901	1.90E-12	T	09-08-2021	IPR009081	Phosphopantetheine binding ACP domain	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	Pfam	PF00550	Phosphopantetheine attachment site	2655	2699	1.70E-04	T	09-08-2021	IPR009081	Phosphopantetheine binding ACP domain	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	Pfam	PF08659	KR domain	2375	2541	4.00E-24	T	09-08-2021	IPR013968	"Polyketide synthase, ketoreductase domain"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40204	cba0f34456293500c418beb008713aff	2706	Gene3D	G3DSA:3.30.300.30	-	697	805	6.80E-11	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
gi|1149076648|gb|AQS99296.1|	fc31e4d498b6655e926892414d480d87	1037	CDD	cd00833	PKS	316	740	1.94E-86	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076648|gb|AQS99296.1|	fc31e4d498b6655e926892414d480d87	1037	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	316	558	1.80E-44	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076648|gb|AQS99296.1|	fc31e4d498b6655e926892414d480d87	1037	SUPERFAMILY	SSF53901	Thiolase-like	316	559	4.55E-41	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076648|gb|AQS99296.1|	fc31e4d498b6655e926892414d480d87	1037	TIGRFAM	TIGR04556	PKS_assoc: polyketide synthase-associated domain	20	243	3.20E-37	T	09-08-2021	IPR030834	Polyketide synthase-associated domain	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076648|gb|AQS99296.1|	fc31e4d498b6655e926892414d480d87	1037	SMART	SM00825	Beta-ketoacyl synthase	315	729	6.60E-21	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076648|gb|AQS99296.1|	fc31e4d498b6655e926892414d480d87	1037	PANTHER	PTHR43775	FATTY ACID SYNTHASE	312	886	1.80E-85	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076648|gb|AQS99296.1|	fc31e4d498b6655e926892414d480d87	1037	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	579	693	6.20E-11	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076648|gb|AQS99296.1|	fc31e4d498b6655e926892414d480d87	1037	Gene3D	G3DSA:3.40.47.10	-	316	740	1.80E-91	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076648|gb|AQS99296.1|	fc31e4d498b6655e926892414d480d87	1037	SUPERFAMILY	SSF53901	Thiolase-like	531	739	1.30E-22	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|198444905|gb|ACH88367.1|	c651a82c1ae8df7ca96232502f7ac690	224	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	171	224	7.20E-10	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	"polyketide synthase, partial [Karenia brevis]"	Karenia brevis
gi|198444905|gb|ACH88367.1|	c651a82c1ae8df7ca96232502f7ac690	224	SUPERFAMILY	SSF53901	Thiolase-like	169	224	3.93E-13	T	09-08-2021	IPR016039	Thiolase-like	"polyketide synthase, partial [Karenia brevis]"	Karenia brevis
gi|198444905|gb|ACH88367.1|	c651a82c1ae8df7ca96232502f7ac690	224	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	1	163	8.70E-51	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	"polyketide synthase, partial [Karenia brevis]"	Karenia brevis
gi|198444905|gb|ACH88367.1|	c651a82c1ae8df7ca96232502f7ac690	224	Gene3D	G3DSA:3.40.47.10	-	1	224	6.80E-87	T	09-08-2021	IPR016039	Thiolase-like	"polyketide synthase, partial [Karenia brevis]"	Karenia brevis
gi|198444905|gb|ACH88367.1|	c651a82c1ae8df7ca96232502f7ac690	224	SUPERFAMILY	SSF53901	Thiolase-like	1	170	1.05E-51	T	09-08-2021	IPR016039	Thiolase-like	"polyketide synthase, partial [Karenia brevis]"	Karenia brevis
gi|198444905|gb|ACH88367.1|	c651a82c1ae8df7ca96232502f7ac690	224	PANTHER	PTHR43775	FATTY ACID SYNTHASE	1	224	3.00E-91	T	09-08-2021	-	-	"polyketide synthase, partial [Karenia brevis]"	Karenia brevis
gi|198444905|gb|ACH88367.1|	c651a82c1ae8df7ca96232502f7ac690	224	ProSitePatterns	PS00606	Beta-ketoacyl synthases active site.	76	92	-	T	09-08-2021	IPR018201	"Beta-ketoacyl synthase, active site"	"polyketide synthase, partial [Karenia brevis]"	Karenia brevis
gi|198444905|gb|ACH88367.1|	c651a82c1ae8df7ca96232502f7ac690	224	CDD	cd00833	PKS	1	224	1.26E-94	T	09-08-2021	-	-	"polyketide synthase, partial [Karenia brevis]"	Karenia brevis
gi|198444905|gb|ACH88367.1|	c651a82c1ae8df7ca96232502f7ac690	224	SMART	SM00825	Beta-ketoacyl synthase	1	224	2.30E-22	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	"polyketide synthase, partial [Karenia brevis]"	Karenia brevis
Cluster-13398.21152	5eb9e2c4072710faf426a7d0f7753cea	1023	TIGRFAM	TIGR04556	PKS_assoc: polyketide synthase-associated domain	24	230	4.80E-32	T	09-08-2021	IPR030834	Polyketide synthase-associated domain	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.21152	5eb9e2c4072710faf426a7d0f7753cea	1023	SMART	SM00825	Beta-ketoacyl synthase	299	733	7.80E-22	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.21152	5eb9e2c4072710faf426a7d0f7753cea	1023	PANTHER	PTHR43775	FATTY ACID SYNTHASE	226	733	9.90E-82	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.21152	5eb9e2c4072710faf426a7d0f7753cea	1023	SUPERFAMILY	SSF53901	Thiolase-like	514	732	4.70E-30	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.21152	5eb9e2c4072710faf426a7d0f7753cea	1023	Gene3D	G3DSA:3.40.47.10	-	288	763	1.40E-92	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.21152	5eb9e2c4072710faf426a7d0f7753cea	1023	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	561	680	4.30E-15	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.21152	5eb9e2c4072710faf426a7d0f7753cea	1023	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	311	545	9.60E-46	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.21152	5eb9e2c4072710faf426a7d0f7753cea	1023	CDD	cd00833	PKS	299	732	9.89E-87	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.21152	5eb9e2c4072710faf426a7d0f7753cea	1023	MobiDBLite	mobidb-lite	consensus disorder prediction	1	25	-	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.21152	5eb9e2c4072710faf426a7d0f7753cea	1023	SUPERFAMILY	SSF53901	Thiolase-like	312	547	7.04E-41	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
gi|595389401|gb|AHM27265.1|	cc297ca2139a2c9ab9ad525efbe5caeb	996	MobiDBLite	mobidb-lite	consensus disorder prediction	944	996	-	T	09-08-2021	-	-	polyketide synthase 2 [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|595389401|gb|AHM27265.1|	cc297ca2139a2c9ab9ad525efbe5caeb	996	PANTHER	PTHR43775	FATTY ACID SYNTHASE	331	782	7.40E-112	T	09-08-2021	-	-	polyketide synthase 2 [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|595389401|gb|AHM27265.1|	cc297ca2139a2c9ab9ad525efbe5caeb	996	TIGRFAM	TIGR04556	PKS_assoc: polyketide synthase-associated domain	79	312	1.70E-47	T	09-08-2021	IPR030834	Polyketide synthase-associated domain	polyketide synthase 2 [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|595389401|gb|AHM27265.1|	cc297ca2139a2c9ab9ad525efbe5caeb	996	MobiDBLite	mobidb-lite	consensus disorder prediction	951	980	-	T	09-08-2021	-	-	polyketide synthase 2 [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|595389401|gb|AHM27265.1|	cc297ca2139a2c9ab9ad525efbe5caeb	996	Gene3D	G3DSA:3.40.47.10	-	343	792	5.20E-119	T	09-08-2021	IPR016039	Thiolase-like	polyketide synthase 2 [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|595389401|gb|AHM27265.1|	cc297ca2139a2c9ab9ad525efbe5caeb	996	SMART	SM00825	Beta-ketoacyl synthase	354	788	1.70E-46	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	polyketide synthase 2 [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|595389401|gb|AHM27265.1|	cc297ca2139a2c9ab9ad525efbe5caeb	996	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	628	741	2.40E-33	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	polyketide synthase 2 [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|595389401|gb|AHM27265.1|	cc297ca2139a2c9ab9ad525efbe5caeb	996	CDD	cd00833	PKS	354	782	2.91E-121	T	09-08-2021	-	-	polyketide synthase 2 [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|595389401|gb|AHM27265.1|	cc297ca2139a2c9ab9ad525efbe5caeb	996	SUPERFAMILY	SSF53901	Thiolase-like	341	737	5.96E-50	T	09-08-2021	IPR016039	Thiolase-like	polyketide synthase 2 [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|595389401|gb|AHM27265.1|	cc297ca2139a2c9ab9ad525efbe5caeb	996	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	345	615	3.10E-39	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	polyketide synthase 2 [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|595389390|gb|AHM27264.1|	cc297ca2139a2c9ab9ad525efbe5caeb	996	MobiDBLite	mobidb-lite	consensus disorder prediction	944	996	-	T	09-08-2021	-	-	polyketide synthase 1 [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|595389390|gb|AHM27264.1|	cc297ca2139a2c9ab9ad525efbe5caeb	996	PANTHER	PTHR43775	FATTY ACID SYNTHASE	331	782	7.40E-112	T	09-08-2021	-	-	polyketide synthase 1 [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|595389390|gb|AHM27264.1|	cc297ca2139a2c9ab9ad525efbe5caeb	996	TIGRFAM	TIGR04556	PKS_assoc: polyketide synthase-associated domain	79	312	1.70E-47	T	09-08-2021	IPR030834	Polyketide synthase-associated domain	polyketide synthase 1 [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|595389390|gb|AHM27264.1|	cc297ca2139a2c9ab9ad525efbe5caeb	996	MobiDBLite	mobidb-lite	consensus disorder prediction	951	980	-	T	09-08-2021	-	-	polyketide synthase 1 [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|595389390|gb|AHM27264.1|	cc297ca2139a2c9ab9ad525efbe5caeb	996	Gene3D	G3DSA:3.40.47.10	-	343	792	5.20E-119	T	09-08-2021	IPR016039	Thiolase-like	polyketide synthase 1 [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|595389390|gb|AHM27264.1|	cc297ca2139a2c9ab9ad525efbe5caeb	996	SMART	SM00825	Beta-ketoacyl synthase	354	788	1.70E-46	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	polyketide synthase 1 [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
