ID1,ID2,Alignment Score
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Viridiplantae Streptophyta Magnoliopsida Arabidopsis thaliana gi|332007980|gb|AED95363.1| 2,151.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Viridiplantae Streptophyta Magnoliopsida Arabidopsis thaliana gi|2065818552|gb|KAG7587082.1| 2,148.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Ochrophyta Pelagophyceae Aureococcus anophagefferens gi|323446102|gb|EGB02402.1| 2,164.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Ochrophyta Pelagophyceae Aureococcus anophagefferens gi|323451787|gb|EGB07663.1| 2,120.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Ochrophyta Pelagophyceae Aureococcus anophagefferens gi|676397131|ref|XP_009041843.1| 2,128.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Azadinium spinosum gi|712037591|gb|AIW63287.1| 3,172.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Azadinium spinosum gi|712037587|gb|AIW63285.1| 2,165.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Azadinium spinosum gi|712037593|gb|AIW63288.1| 2,173.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Plantae Chlorophyta Trebouxiophyceae Chlorella desiccata gi|2058347066|gb|KAG7186100.1| 33,174.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Plantae Chlorophyta Trebouxiophyceae Chlorella desiccata gi|2065913624|gb|KAG7668436.1| 33,174.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Plantae Chlorophyta Trebouxiophyceae Chlorella sorokiniana gi|1359821851|gb|PRW57359.1| 70,172.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Plantae Chlorophyta Trebouxiophyceae Chlorella sorokiniana gi|1359826553|gb|PRW61437.1| 43,195.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Plantae Chlorophyta Trebouxiophyceae Chlorella variabilis gi|307107568|gb|EFN55810.1| 50,151.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Plantae Chlorophyta Trebouxiophyceae Chlorella variabilis gi|552813157|ref|XP_005843883.1| 2,168.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Plantae Chlorophyta Trebouxiophyceae Chlorella variabilis gi|552830467|ref|XP_005847911.1| 2,120.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Chroococcus sp. gi|2005186445|ref|WP_206815786.1| 6,204.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Chroococcus sp. gi|2005185402|ref|WP_206814744.1| 7,211.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Chroococcus sp. gi|1995721096|dbj|GFE68911.1| 3,206.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Haptophyta Prymnesiophyceae Emiliania huxleyi gi|485610972|gb|EOD09665.1| 66,173.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Haptophyta Prymnesiophyceae Emiliania huxleyi gi|551554211|ref|XP_005764373.1| 6,188.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Haptophyta Prymnesiophyceae Emiliania huxleyi gi|551619303|ref|XP_005790240.1| 10,144.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Gambierdiscus australes gi|1149076398|gb|AQS99171.1| 2,154.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Gambierdiscus australes gi|1149076408|gb|AQS99176.1| 2,155.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Gambierdiscus belizeanus gi|1149076674|gb|AQS99309.1| 2,157.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Gambierdiscus belizeanus gi|1149076460|gb|AQS99202.1| 2,155.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Gambierdiscus caribaeus Cluster-13398.4725 2,161.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Gambierdiscus caribaeus Cluster-13398.6878 2,178.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Gambierdiscus caribaeus Cluster-13398.23046 13,180.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Gambierdiscus excentricus gi|1149076462|gb|AQS99203.1| 3,159.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Gambierdiscus excentricus gi|1149076676|gb|AQS99310.1| 2,166.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Gambierdiscus excentricus gi|1149076402|gb|AQS99173.1| 2,171.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Gambierdiscus pacificus gi|1842959121|gb|QJU71797.1| 2,157.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Gambierdiscus polynesiensis gi|1149076450|gb|AQS99197.1| 2,171.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Gambierdiscus polynesiensis gi|1149076688|gb|AQS99316.1| 3,166.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Gambierdiscus polynesiensis gi|1149076696|gb|AQS99320.1| 3,160.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Viridiplantae Chlorophyta core chlorophytes Gonium pectorale gi|1004138199|gb|KXZ46216.1| 31,176.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Hematodinium sp. gi|818211084|gb|AKG25414.1| 13,191.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Hematodinium sp. gi|818211082|gb|AKG25413.1| 15,187.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Hematodinium sp. gi|818211088|gb|AKG25416.1| 9,192.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Karenia brevis gi|148536473|gb|ABQ85796.1| 2,163.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Karenia brevis gi|198444933|gb|ACH88381.1| 2,115.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Karenia brevis gi|198444898|gb|ACH88363.1| 6,178.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Karenia mikimotoi gi|941355196|dbj|BAT21732.1| 2,153.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Karenia mikimotoi gi|941355188|dbj|BAT21728.1| 2,168.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Karenia mikimotoi gi|941355198|dbj|BAT21733.1| 2,146.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Karlodinium sp. gi|113204665|gb|ABI34079.1| 2,120.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Merismopedia glauca gi|1361090430|ref|WP_106290345.1| 4,171.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Merismopedia glauca gi|1361087848|ref|WP_106287763.1| 6,186.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Merismopedia glauca gi|1360376726|gb|PSB01380.1| 6,183.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis  gi|513469370|gb|EPF17203.1| 12,198.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis  gi|1334967573|ref|WP_103112245.1| 3,168.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis  gi|1111745713|dbj|BAW32334.1| 16,180.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis aeruginosa gi|9965356|gb|AAG10057.1| 2,123.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis aeruginosa gi|193875668|gb|ACF24471.1| 2,128.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis aeruginosa gi|1733587002|dbj|GCA87397.1| 8,204.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis flos-aquae gi|1706109573|gb|TRV31866.1| 7,201.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis flos-aquae gi|1706105840|gb|TRV28337.1| 6,203.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis flos-aquae gi|1706116602|gb|TRV38529.1| 5,197.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis novacekii gi|1706062286|gb|TRU87067.1| 9,197.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis novacekii gi|1706068113|gb|TRU92512.1| 11,195.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis novacekii gi|1706068115|gb|TRU92514.1| 9,177.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis panniformis gi|1706162145|gb|TRV81286.1| 15,199.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis panniformis gi|914402333|gb|AKV70002.1| 6,209.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis panniformis gi|914402336|gb|AKV70005.1| 5,179.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis sp. gi|1705982252|gb|TRU12518.1| 8,197.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis sp. gi|1705937141|gb|TRT70605.1| 5,180.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis sp. gi|1705957026|gb|TRT88728.1| 6,209.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis viridis gi|1706041433|gb|TRU67710.1| 9,198.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis viridis gi|1706052071|gb|TRU77618.1| 9,198.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis viridis gi|1519311139|dbj|BBH42730.1| 11,197.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis wesenbergii gi|1706101380|gb|TRV24113.1| 5,178.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis wesenbergii gi|1706068711|gb|TRU93087.1| 7,202.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Microcystis wesenbergii gi|1706072375|gb|TRU96575.1| 7,182.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Plantae Chlorophyta Mamiellophyceae Micromonas commoda gi|255071123|ref|XP_002507643.1| 39,163.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Plantae Chlorophyta Mamiellophyceae Micromonas commoda gi|255070925|ref|XP_002507544.1| 23,168.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Plantae Chlorophyta Mamiellophyceae Micromonas commoda gi|226522819|gb|ACO68802.1| 23,168.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Plantae Chlorophyta Mamiellophyceae Micromonas pusilla gi|303273142|ref|XP_003055932.1| 2,124.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Plantae Chlorophyta Mamiellophyceae Micromonas pusilla gi|226462414|gb|EEH59706.1| 25,163.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Plantae Chlorophyta Mamiellophyceae Micromonas pusilla gi|226462028|gb|EEH59320.1| 2,112.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Protozoa Choanozoa Choanoflagellatea Monosiga brevicollis gi|167535569|ref|XP_001749458.1| 10,206.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Protozoa Choanozoa Choanoflagellatea Monosiga brevicollis gi|167516226|ref|XP_001742454.1| 4,181.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Protozoa Choanozoa Choanoflagellatea Monosiga brevicollis gi|163772086|gb|EDQ85743.1| 10,206.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Oscillatoria acuminata gi|427999447|gb|AFY80290.1| 7,178.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Oscillatoria acuminata gi|504962338|ref|WP_015149440.1| 5,175.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Oscillatoria acuminata gi|504959838|ref|WP_015146940.1| 7,178.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Oscillatoria nigro-viridis gi|504990109|ref|WP_015177211.1| 6,176.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Oscillatoria nigro-viridis gi|428242166|gb|AFZ07952.1| 6,176.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Oscillatoria nigro-viridis gi|428240892|gb|AFZ06678.1| 2,152.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Oscillatoria sancta gi|61374291|gb|AAX44135.1| 2,134.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Oscillatoria sp. gi|61374302|gb|AAX44140.1| 2,121.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Oscillatoria sp. gi|61374308|gb|AAX44143.1| 2,133.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Oscillatoria sp. gi|61374300|gb|AAX44139.1| 2,121.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Prorocentrum donghaiense gi|145423860|gb|ABP68562.1| 2,120.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Prorocentrum hoffmannianum gi|194354508|gb|ACF54733.1| 2,120.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Prorocentrum hoffmannianum gi|194354510|gb|ACF54734.1| 2,127.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Prorocentrum hoffmannianum gi|194354522|gb|ACF54740.1| 2,115.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Prorocentrum lima Unigene3917_All 3,169.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Prorocentrum lima Unigene44187_All 7,167.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Prorocentrum lima CL3053.Contig5_All 10,169.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Prorocentrum micans gi|113204663|gb|ABI34078.1| 2,128.0
